ウテロン錠５ｍｇ,2590004F1010
ウチダのセンブリ末Ｍ,5100116A1018
ウチダのソウハクヒＭ,5100118X1010
ウチダのソウジュツＭ,5100117X1015
ウチダのソウジュツ末Ｍ,5100117A1012
ウチダのソヨウＭ,5100120X1017
ウチダのタイソウＭ,5100122X1016
ウチダのタクシャＭ,5100124X1015
ウチダのタクシャ末Ｍ,5100124A1012
ウチダのチョウジＭ,5100128X1013
ウチダのチョウジ末Ｍ,5100128A1010
ウチダのチョレイＭ,5100130X1010
ウチダのチクセツニンジンＭ,5100126X1014
ウチダのチクセツニンジン末Ｍ,5100126A1011
ウチダのチモＭ,5100127X1027
ウチダのチンピＭ,5100131X1015
ウチダのトウキＭ,5100137X1020
ウチダのトウキ末Ｍ,5100137A1010
ウチダのトウニンＭ,5100139X1011
ウチダのトウヒＭ,5100140X1014
ウチダのトウガラシＭ,5100136X1018
ウチダのトウガラシ末Ｍ,5100136A1015
ウチダのニンジンＭ,5100148X1010
ウチダのニガキＭ,5100146X1011
ウチダのニガキ末Ｍ,5100146A1019
ウチダのハッカＭ,5100152X1017
ウチダのハマボウフウＭ,5100153X1011
ウチダのハンゲＭ,5100154X1016
ウチダのマオウＭ,5100170X1015
ウチダのモッコウＭ,5100175X1018
ウチダのモクツウＭ,5100173X1019
ウチダのヤクチＭ,5100177X1025
ウチダのヨクイニンＭ,5100180X1019
ウチダのヨクイニン末Ｍ,5100180A1016
ウチダのリュウコツＭ,5100182X1018
ウチダのリュウタンＭ,5100183X1012
ウチダのリュウタン末Ｍ,5100183A1010
ウチダのレンギョウＭ,5100185X1011
ウチダのガジュツＭ,5100029X1028
ウチダのゲンチアナＭ,5100060X1013
ウチダのゲンチアナ末Ｍ,5100060A1010
ウチダのゲンノショウコＭ,5100061X1018
ウチダのゲンノショウコ末Ｍ,5100061A1015
ウチダのゴシュユＭ,5100070X1017
ウチダのゴシツＭ,5100069X1014
ウチダのゴミシＭ,5100072X1016
ウチダのジュウヤクＭ,5100100X1010
ウチダのジオウＭ,5100087X1012
ウチダのダイオウＭ,5100121X1011
ウチダのダイオウ末Ｍ,5100121A1019
ウチダのバクモンドウＭ,5100151X1012
ウチダのビャクシＭ,5100157X1010
ウチダのビャクジュツＭ,5100158X1022
ウチダのビャクジュツ末Ｍ,5100158A1011
ウチダのビンロウジＭ,5100160X1011
ウチダのブクリョウＭ,5100161X1016
ウチダのブクリョウ末Ｍ,5100161A1013
ウチダのボウイＭ,5100163X1015
ウチダのボウコンＭ,5100164X1010
ウチダのボウフウＭ,5100165X1014
ウチダのボタンピＭ,5100168X1018
ウチダのボタンピ末Ｍ,5100168A1015
ウチダのボレイＭ,5100169X1012
ウチダのボレイ末Ｍ,5100169A1010
クエン酸「コザカイ・Ｍ」,7149007X1080
タンニン酸アルブミン「三恵」,2312001X1065
ツムラの生薬ウイキョウ,5100008X1018
ツムラの生薬エンゴサク,5100015X1018
ツムラの生薬オウレン,5100022X1018
ツムラの生薬オウギ,5100017X1084
ツムラの生薬オウゴン,5100019X1016
ツムラの生薬オウバク,5100020X1019
ツムラの生薬オンジ,5100023X1012
ツムラの生薬カッコン,5100032X1011
ツムラの生薬カロコン,5100036X1010
ツムラの生薬カンゾウ,5100039X1013
ツムラの生薬キョウニン,5100049X1017
ツムラの生薬キキョウ,5100042X1015
ツムラの生薬キジツ,5100045X1086
ツムラの生薬クジン,5100054X1018
ツムラの生薬ケイヒ,5100056X1017
ツムラの生薬コウカ,5100062X1012
ツムラの生薬コウブシ,5100065X1016
ツムラの生薬コウボク,5100067X1015
ツムラの生薬サイコ,5100075X1010
ツムラの生薬サイシン,5100076X1014
ツムラの生薬サンシュユ,5100082X1087
ツムラの生薬サンショウ,5100083X1014
ツムラの生薬サンシシ,5100081X1015
ツムラの生薬サンヤク,5100086X1085
ツムラの生薬シャクヤク,5100094X1012
ツムラの生薬シャゼンシ,5100097X1016
ツムラの生薬ショウキョウ,5100102X1019
ツムラの生薬セッコウ,5100109X1010
ツムラの生薬センキュウ,5100111X1018
ツムラの生薬ソウハクヒ,5100118X1010
ツムラの生薬ソウジュツ,5100117X1015
ツムラの生薬ソヨウ,5100120X1017
ツムラの生薬タイソウ,5100122X1016
ツムラの生薬タクシャ,5100124X1015
ツムラの生薬チョウジ,5100128X1013
ツムラの生薬チョレイ,5100130X1010
ツムラの生薬チモ,5100127X1019
ツムラの生薬チンピ,5100131X1015
ツムラの生薬トウキ,5100137X1098
ツムラの生薬トウニン,5100139X1011
ツムラの生薬ニンジン,5100148X1010
ツムラの生薬ハッカ,5100152X1017
ツムラの生薬ハンゲ,5100154X1016
ツムラの生薬マオウ,5100170X1015
ツムラの生薬モクツウ,5100173X1019
ツムラの生薬ヨクイニン,5100180X1019
ツムラの生薬リュウコツ,5100182X1018
ツムラの生薬レンギョウ,5100185X1011
ツムラの生薬ゴシュユ,5100070X1017
ツムラの生薬ゴシツ,5100069X1014
ツムラの生薬ゴミシ,5100072X1016
ツムラの生薬ジオウ,5100087X1012
ツムラの生薬ダイオウ,5100121X1011
ツムラの生薬バクモンドウ,5100151X1012
ツムラの生薬ビャクシ,5100157X1010
ツムラの生薬ビャクジュツ,5100158X1014
ツムラの生薬ブクリョウ,5100161X1016
ツムラの生薬ボウイ,5100163X1015
ツムラの生薬ボタンピ,5100168X1018
ツムラの生薬ボレイ,5100169X1012
テイコク紅参（調剤用）,5100063X1106
トチモトのアキョウ,5100001X1016
トチモトのアセンヤク末,5100002A1018
トチモトのアマチャ,5100003X1015
トチモトのアマチャ末,5100003A1012
トチモトのアロエ末,5100004A1017
トチモトのウイキョウ,5100008X1018
トチモトのウワウルシ,5100013X1019
トチモトのエイジツ,5100014X1013
トチモトのエイジツ末,5100014A1010
トチモトのエンゴサク,5100015X1018
トチモトのオウレン,5100022X1018
トチモトのオウレン末,5100022A1015
トチモトのオウギ,5100017X1106
トチモトのオウゴン,5100019X1016
トチモトのオウゴン末,5100019A1013
トチモトのオウバク,5100020X1019
トチモトのオウバク末,5100020A1016
トチモトのオンジ,5100023X1012
トチモトのオンジ末,5100023A1010
トチモトのカッコン,5100032X1011
トチモトのカッセキ,5100033X1016
トチモトのカノコソウ,5100034X1010
トチモトのカノコソウ末,5100034A1018
トチモトのカロコン,5100036X1010
トチモトの乾姜,5100038X1019
トチモトのカンテン末,5100041A1018
トチモトのカンゾウ,5100039X1013
トチモトのカンゾウ末,5100039A1010
トチモトのカゴソウ,5100026X1016
トチモトのキョウニン,5100049X1017
トチモトのキキョウ,5100042X1015
トチモトのキキョウ末,5100042A1012
トチモトのキササゲ,5100044X1014
トチモトのキジツ,5100045X1094
トチモトのクジン,5100054X1018
トチモトのクジン末,5100054A1015
トチモトのケイヒ,5100056X1017
トチモトのケイヒ末,5100056A1014
トチモトのケイガイ,5100055X1012
トチモトのケツメイシ,5100057X1011
トチモトのケンゴシ,5100058X1016
トチモトのコウカ,5100062X1012
トチモトのコウジン,5100063X1122
トチモトのコウブシ,5100065X1016
トチモトのコウブシ末,5100065A1013
トチモトのコウベイ,5100066X1010
トチモトのコウボク,5100067X1015
トチモトのコウボク末,5100067A1012
トチモトのコロンボ,5100073X1010
トチモトのコロンボ末,5100073A1018
トチモトのコンズランゴ,5100074X1015
トチモトのサイコ,5100075X1010
トチモトのサイシン,5100076X1014
トチモトのサフラン,5100078X1099
トチモトのサンキライ,5100079X1018
トチモトのサンキライ末,5100079A1015
トチモトのサンシュユ,5100082X1095
トチモトのサンショウ,5100083X1014
トチモトのサンショウ末,5100083A1011
トチモトのサンシシ,5100081X1015
トチモトのサンシシ末,5100081A1012
トチモトのサンヤク,5100086X1093
トチモトのサンズコン,5100084X1019
トチモトのシャクヤク,5100094X1012
トチモトのシャクヤク末,5100094A1010
トチモトのシャゼンシ,5100097X1016
トチモトのシャゼンソウ,5100098X1010
トチモトのシュクシャ,5100101X1090
トチモトのシュクシャ末,5100101A1011
トチモトのショウキョウ,5100102X1019
トチモトのショウキョウ末,5100102A1016
トチモトのショウマ,5100106X1017
トチモトのショウズク,5100103X1013
トチモトのショウバク,5100105X1012
トチモトのシコン,5100090X1014
トチモトのセッコウ,5100109X1010
トチモトのセネガ,5100110X1013
トチモトのセネガ末,5100110A1010
トチモトのセンキュウ,5100111X1018
トチモトのセンキュウ末,5100111A1015
トチモトのセンコツ,5100113X1017
トチモトのセンナ,5100115X1016
トチモトのセンナ末,5100115A1013
トチモトのセンブリ,5100116X1010
トチモトのセンブリ末,5100116A1018
トチモトのソウハクヒ,5100118X1010
トチモトのソウジュツ,5100117X1015
トチモトのソウジュツ末,5100117A1012
トチモトのソヨウ,5100120X1017
トチモトのタイソウ,5100122X1016
トチモトのタクシャ,5100124X1015
トチモトのタクシャ末,5100124A1012
トチモトのチョウジ,5100128X1013
トチモトのチョウジ末,5100128A1010
トチモトのチョレイ,5100130X1010
トチモトのチクセツニンジン,5100126X1014
トチモトのチクセツニンジン末,5100126A1011
トチモトのチモ,5100127X1019
トチモトのチンピ,5100131X1015
トチモトのトウキ,5100137X1101
トチモトのトウキ末,5100137A1010
トチモトのトウニン,5100139X1011
トチモトのトウヒ,5100140X1014
トチモトのトウガラシ,5100136X1018
トチモトのニンジン,5100148X1010
トチモトのニガキ,5100146X1011
トチモトのハッカ,5100152X1017
トチモトのハマボウフウ,5100153X1011
トチモトのハンゲ,5100154X1016
トチモトのマオウ,5100170X1015
トチモトのモッコウ,5100175X1018
トチモトのモクツウ,5100173X1019
トチモトのヤクチ,5100177X1076
トチモトのヨクイニン,5100180X1019
トチモトのヨクイニン末,5100180A1016
トチモトのリュウコツ,5100182X1018
トチモトのリュウタン,5100183X1012
トチモトのリュウタン末,5100183A1010
トチモトのレンギョウ,5100185X1011
トチモトのロートコン,5100187X1010
トチモトのガジュツ,5100029X1052
トチモトのガジュツ末,5100030A1010
トチモトのゲンチアナ,5100060X1013
トチモトのゲンチアナ末,5100060A1010
トチモトのゲンノショウコ,5100061X1018
トチモトのゲンノショウコ末,5100061A1015
トチモトのゴシュユ,5100070X1017
トチモトのゴシツ,5100069X1014
トチモトのゴミシ,5100072X1016
トチモトのジュウヤク,5100100X1010
トチモトのジオウ,5100087X1012
トチモトのダイオウ,5100121X1011
トチモトのダイオウ末,5100121A1019
トチモトのバクモンドウ,5100151X1012
トチモトのビャクシ,5100157X1010
トチモトのビャクゴウ,5100156X1040
トチモトのビャクジュツ,5100158X1014
トチモトのビャクジュツ末,5100158A1011
トチモトのビンロウジ,5100160X1011
トチモトのブクリョウ,5100161X1016
トチモトのブクリョウ末,5100161A1013
トチモトのボウイ,5100163X1015
トチモトのボウコン,5100164X1010
トチモトのボウフウ,5100165X1014
トチモトのボクソク,5100167X1013
トチモトのボタンピ,5100168X1018
トチモトのボタンピ末,5100168A1015
トチモトのボレイ,5100169X1012
ハッカ油「コザカイ・Ｍ」,7149006X1078
マツウラのオウレン（医療用）,5100022X1018
マツウラのオウギ（医療用）,5100017X1017
マツウラのオウゴン（医療用）,5100019X1016
マツウラのオウバク（医療用）,5100020X1019
マツウラのカッコン（医療用）,5100032X1011
マツウラのカンゾウ（医療用）,5100039X1013
マツウラのキキョウ（医療用）,5100042X1015
マツウラのキジツ（医療用）,5100045X1124
マツウラのケイヒ（医療用）,5100056X1017
マツウラのケイガイ（医療用）,5100055X1012
マツウラのコウジン（医療用）,5100063X1017
マツウラのサイコ（医療用）,5100075X1010
マツウラのサイシン（医療用）,5100076X1014
マツウラのサフラン（医療用）,5100078X1013
マツウラのサンシュユ（医療用）,5100082X1010
マツウラのサンシシ（医療用）,5100081X1015
マツウラのサンヤク（医療用）,5100086X1107
マツウラのシャクヤク（医療用）,5100094X1012
マツウラのショウキョウ（医療用）,5100102X1019
マツウラのショウマ（医療用）,5100106X1017
マツウラのセッコウ（医療用）,5100109X1010
マツウラのセンキュウ（医療用）,5100111X1018
マツウラのソウジュツ（医療用）,5100117X1015
マツウラのタイソウ（医療用）,5100122X1016
マツウラのタクシャ（医療用）,5100124X1015
マツウラのチョレイ（医療用）,5100130X1010
マツウラのチンピ（医療用）,5100131X1015
マツウラのトウニン（医療用）,5100139X1011
マツウラのニンジン（医療用）,5100148X1010
マツウラのハッカ（医療用）,5100152X1017
マツウラのハンゲ（医療用）,5100154X1016
マツウラのマオウ（医療用）,5100170X1015
マツウラのリュウコツ（医療用）,5100182X1018
マツウラのレンギョウ（医療用）,5100185X1011
マツウラのゴミシ（医療用）,5100072X1016
マツウラのジオウ（医療用）,5100087X1012
マツウラのダイオウ（医療用）,5100121X1011
マツウラのバクモンドウ（医療用）,5100151X1012
マツウラのビャクジュツ（医療用）,5100158X1014
マツウラのブクリョウ（医療用）,5100161X1016
マツウラのボウイ（医療用）,5100163X1015
マツウラのボタンピ（医療用）,5100168X1018
マツウラのボレイ（医療用）,5100169X1012
ヨウ化カリウム「コザカイ・Ｍ」,3221001X1055
リン酸コデイン散１％「コトブキ」,2242001B2017
リン酸水素カルシウム「三恵」,3219001X1014
ゲンチアナ末「三恵」,5100060A1010
ジアスターゼ「コザカイ・Ｍ」,2331003X1060
ジアスターゼ「三恵」,2331003X1019
ダイオウ末「三恵」,5100121A1019
ブロムワレリル尿素「三恵」,1121001X1018
ブドウ糖「コザカイ・Ｍ」,3231001X1060
パンクレアチン「三恵」,2331006X1063
プレドニゾロン錠５「ホエイ」　５ｍｇ,2456001F1019
三和ダイオウ末,5100121A1019
小島アセンヤク末Ｍ,5100002A1018
小島アロエ末Ｍ,5100004A1017
小島ウワウルシＭ,5100013X1019
小島キササゲＭ,5100044X1014
小島サフランＭ,5100078X1013
小島セネガＭ,5100110X1013
小島セネガ末Ｍ,5100110A1010
小島センナＭ,5100115X1016
小島センナ末Ｍ,5100115A1013
小島センブリＭ,5100116X1010
小島センブリ末Ｍ,5100116A1018
小島ハッカ葉Ｍ,5100152X1017
小島ヨクイニンＭ,5100180X1019
小島ヨクイニン末Ｍ,5100180A1016
小島ゲンチアナＭ,5100060X1013
小島ゲンチアナ末Ｍ,5100060A1010
小島ボレイＭ,5100169X1012
小島か楼根Ｍ,5100036X1010
小島五味子Ｍ,5100072X1016
小島十薬Ｍ,5100100X1010
小島大黄Ｍ,5100121X1011
小島大黄末Ｍ,5100121A1019
小島大棗Ｍ,5100122X1016
小島小豆くＭ,5100103X1013
小島山薬Ｍ,5100086X1069
小島山帰来Ｍ,5100079X1018
小島山帰来末Ｍ,5100079A1015
小島山梔子Ｍ,5100081X1015
小島山梔子末Ｍ,5100081A1012
小島山椒Ｍ,5100083X1014
小島山椒末Ｍ,5100083A1011
小島山茱萸Ｍ,5100082X1010
小島川きゅうＭ,5100111X1018
小島川きゅう末Ｍ,5100111A1015
小島川骨Ｍ,5100113X1017
小島木通Ｍ,5100173X1019
小島木香Ｍ,5100175X1018
小島吉草根Ｍ,5100034X1010
小島吉草根末Ｍ,5100034A1018
小島石膏Ｍ,5100109X1010
小島沢瀉Ｍ,5100124X1015
小島沢瀉末Ｍ,5100124A1012
小島人参Ｍ,5100148X1010
小島生姜Ｍ,5100102X1019
小島生姜末Ｍ,5100102A1016
小島知母Ｍ,5100127X1019
小島地黄Ｍ,5100087X1012
小島浜防風Ｍ,5100153X1011
小島竹節人参Ｍ,5100126X1014
小島竹節人参末Ｍ,5100126A1011
小島車前子Ｍ,5100097X1016
小島白しＭ,5100157X1010
小島白朮Ｍ,5100158X1014
小島白朮末Ｍ,5100158A1011
小島当帰Ｍ,5100137X1071
小島当帰末Ｍ,5100137A1010
小島香附子Ｍ,5100065X1016
小島香附子末Ｍ,5100065A1013
小島遠志Ｍ,5100023X1012
小島遠志末Ｍ,5100023A1010
小島連翹Ｍ,5100185X1011
小島細辛Ｍ,5100076X1014
小島益智Ｍ,5100177X1017
小島半夏Ｍ,5100154X1016
小島決明子Ｍ,5100057X1011
小島柴胡Ｍ,5100075X1010
小島防已Ｍ,5100163X1015
小島延胡索Ｍ,5100015X1018
小島桑白皮Ｍ,5100118X1010
小島麻黄Ｍ,5100170X1015
小島龍骨Ｍ,5100182X1018
小島龍胆Ｍ,5100183X1012
小島龍胆末Ｍ,5100183A1010
小島営実Ｍ,5100014X1013
小島営実末Ｍ,5100014A1010
小島葛根Ｍ,5100032X1011
小島厚朴Ｍ,5100067X1015
小島厚朴末Ｍ,5100067A1012
小島牛膝Ｍ,5100069X1014
小島夏枯草Ｍ,5100026X1016
小島桂皮Ｍ,5100056X1017
小島桂皮末Ｍ,5100056A1014
小島猪苓Ｍ,5100130X1010
小島縮砂Ｍ,5100101X1014
小島縮砂末Ｍ,5100101A1011
小島苦木Ｍ,5100146X1011
小島苦木末Ｍ,5100146A1019
小島苦参Ｍ,5100054X1018
小島苦参末Ｍ,5100054A1015
小島黄ごんＭ,5100019X1016
小島黄ごん末Ｍ,5100019A1013
小島黄連Ｍ,5100022X1018
小島黄連末Ｍ,5100022A1015
小島黄柏Ｍ,5100020X1019
小島黄柏末Ｍ,5100020A1016
小島黄耆Ｍ,5100017X1017
小島桃仁Ｍ,5100139X1011
小島麦門冬Ｍ,5100151X1012
小島呉茱萸Ｍ,5100070X1017
小島紫根Ｍ,5100090X1014
小島紫蘇葉Ｍ,5100120X1017
小島甘草Ｍ,5100039X1013
小島甘草末Ｍ,5100039A1010
小島甘茶Ｍ,5100003X1015
小島甘茶末Ｍ,5100003A1012
小島紅花Ｍ,5100062X1012
小島紅参Ｍ,5100063X1017
小島丁子Ｍ,5100128X1013
小島丁子末Ｍ,5100128A1010
小島茅根Ｍ,5100164X1010
小島玄草Ｍ,5100061X1018
小島玄草末Ｍ,5100061A1015
小島升麻Ｍ,5100106X1017
小島陳皮Ｍ,5100131X1015
小島牡丹皮Ｍ,5100168X1018
小島牡丹皮末Ｍ,5100168A1015
小島蒼朮Ｍ,5100117X1015
小島蒼朮末Ｍ,5100117A1012
小島杏仁Ｍ,5100049X1017
小島桔梗Ｍ,5100042X1015
小島桔梗末Ｍ,5100042A1012
小島荊芥Ｍ,5100055X1012
小島牽牛子Ｍ,5100058X1016
小島枳実Ｍ,5100045X1060
小島梹榔子Ｍ,5100160X1011
小島橙皮Ｍ,5100140X1014
小島芍薬Ｍ,5100094X1012
小島芍薬末Ｍ,5100094A1010
小島茴香Ｍ,5100008X1018
小島茯苓Ｍ,5100161X1016
小島茯苓末Ｍ,5100161A1013
小島莪じゅつＭ,5100029X1010
本草サフラン－Ｒ,5100078X1013
高砂アロエ末Ｍ,5100004A1017
高砂ウイキョウＭ,5100008X1018
高砂ウワウルシＭ,5100013X1019
高砂エイジツ末Ｍ,5100014A1010
高砂エンゴサクＭ,5100015X1018
高砂オウレンＭ,5100022X1018
高砂オウレン末Ｍ,5100022A1015
高砂オウギＭ,5100017X1017
高砂オウゴンＭ,5100019X1016
高砂オウゴン末Ｍ,5100019A1013
高砂オウバクＭ,5100020X1019
高砂オウバク末Ｍ,5100020A1016
高砂オンジＭ,5100023X1012
高砂オンジ末Ｍ,5100023A1010
高砂カッコンＭ,5100032X1011
高砂カノコソウＭ,5100034X1010
高砂カノコソウ末Ｍ,5100034A1018
高砂カロコンＭ,5100036X1010
高砂カンゾウＭ,5100039X1013
高砂カンゾウ末Ｍ,5100039A1010
高砂カゴソウＭ,5100026X1016
高砂キョウニンＭ,5100049X1017
高砂キキョウＭ,5100042X1015
高砂キキョウ末Ｍ,5100042A1012
高砂キササゲＭ,5100044X1014
高砂キジツＭ,5100045X1019
高砂クジン末Ｍ,5100054A1015
高砂ケイヒＭ,5100056X1017
高砂ケイヒ末Ｍ,5100056A1014
高砂ケイガイＭ,5100055X1012
高砂ケツメイシＭ,5100057X1011
高砂コウカＭ,5100062X1012
高砂コウジンＭ,5100063X1017
高砂コウブシＭ,5100065X1016
高砂コウブシ末Ｍ,5100065A1013
